,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Year,Month
192,11/12,UEFA Champions League,Group Stage,9/28/11,A,FC Barcelona,BATE Borisov,0:5,CF,38,0:3,Header,,2011,September
193,11/12,UEFA Champions League,Group Stage,9/28/11,A,FC Barcelona,BATE Borisov,0:5,CF,56,0:4,Left-footed shot,Dani Alves,2011,September
194,11/12,LaLiga,8,10/15/11,H,FC Barcelona,Racing Santander,3:0,CF,11,1:0,Right-footed shot,Andres Iniesta,2011,October
195,11/12,LaLiga,8,10/15/11,H,FC Barcelona,Racing Santander,3:0,CF,69,3:0,Right-footed shot,,2011,October
196,11/12,LaLiga,11,10/29/11,H,FC Barcelona,RCD Mallorca,5:0,CF,13,1:0,Penalty,,2011,October
197,11/12,LaLiga,11,10/29/11,H,FC Barcelona,RCD Mallorca,5:0,CF,21,2:0,Right-footed shot,Adriano,2011,October
198,11/12,LaLiga,11,10/29/11,H,FC Barcelona,RCD Mallorca,5:0,CF,30,3:0,Left-footed shot,Dani Alves,2011,October
199,11/12,UEFA Champions League,Group Stage,11/1/11,A,FC Barcelona,FC Viktoria Plzen,0:4,CF,24,0:1,Penalty,,2011,November
200,11/12,UEFA Champions League,Group Stage,11/1/11,A,FC Barcelona,FC Viktoria Plzen,0:4,CF,45+2,0:2,Left-footed shot,Adriano,2011,November
201,11/12,UEFA Champions League,Group Stage,11/1/11,A,FC Barcelona,FC Viktoria Plzen,0:4,CF,90+2,0:4,Left-footed shot,Gerard Pique,2011,November
202,11/12,LaLiga,12,11/6/11,A,FC Barcelona,Athletic Bilbao,2:2,CF,90,2:2,Left-footed shot,,2011,November
203,11/12,LaLiga,13,11/19/11,H,FC Barcelona,Real Zaragoza,4:0,CF,43,2:0,Right-footed shot,Cesc Fabregas,2011,November
204,11/12,UEFA Champions League,Group Stage,11/23/11,A,FC Barcelona,AC Milan,2:3,SS,31,1:2,Penalty,,2011,November
205,11/12,LaLiga,17,11/29/11,H,FC Barcelona,Rayo Vallecano,4:0,CF,49,4:0,Left-footed shot,Dani Alves,2011,November
206,11/12,LaLiga,15,12/3/11,H,FC Barcelona,Levante UD,5:0,CF,55,4:0,Left-footed shot,Dani Alves,2011,December
207,11/12,FIFA Club World Cup,Final,12/18/11,A,FC Barcelona,Santos FC,0:4,RW,17,0:1,Left-footed shot,Xavi,2011,December
208,11/12,FIFA Club World Cup,Final,12/18/11,A,FC Barcelona,Santos FC,0:4,RW,82,0:4,Left-footed shot,Dani Alves,2011,December
209,11/12,Copa del Rey,Last 16,1/4/12,H,FC Barcelona,CA Osasuna,4:0,CF,71,3:0,Header,Cesc Fabregas,2012,January
210,11/12,Copa del Rey,Last 16,1/4/12,H,FC Barcelona,CA Osasuna,4:0,CF,90,4:0,Left-footed shot,Xavi,2012,January
211,11/12,LaLiga,19,1/15/12,H,FC Barcelona,Real Betis Balompie,4:2,CF,12,2:0,Right-footed shot,Alexis Sanchez,2012,January
212,11/12,LaLiga,19,1/15/12,H,FC Barcelona,Real Betis Balompie,4:2,CF,86,4:2,Penalty,,2012,January
213,11/12,LaLiga,1,1/22/12,A,FC Barcelona,Malaga CF,1:4,CF,32,0:1,Header,Adriano,2012,January
214,11/12,LaLiga,1,1/22/12,A,FC Barcelona,Malaga CF,1:4,CF,51,0:3,Left-footed shot,Thiago,2012,January
215,11/12,LaLiga,1,1/22/12,A,FC Barcelona,Malaga CF,1:4,CF,77,0:4,Left-footed shot,Pedro,2012,January
216,11/12,LaLiga,22,2/4/12,H,FC Barcelona,Real Sociedad,2:1,CF,72,2:0,Left-footed shot,Dani Alves,2012,February
217,11/12,UEFA Champions League,Last 16,2/14/12,A,FC Barcelona,Bayer 04 Leverkusen,1:3,CF,88,1:3,Left-footed shot,Dani Alves,2012,February
218,11/12,LaLiga,24,2/19/12,H,FC Barcelona,Valencia CF,5:1,CF,21,1:1,Left-footed shot,,2012,February
219,11/12,LaLiga,24,2/19/12,H,FC Barcelona,Valencia CF,5:1,CF,27,2:1,Tap-in,,2012,February
220,11/12,LaLiga,24,2/19/12,H,FC Barcelona,Valencia CF,5:1,CF,75,3:1,Left-footed shot,Cristian Tello,2012,February
221,11/12,LaLiga,24,2/19/12,H,FC Barcelona,Valencia CF,5:1,CF,84,4:1,Left-footed shot,Sergio Busquets,2012,February
222,11/12,LaLiga,25,2/26/12,A,FC Barcelona,Atletico de Madrid,1:2,CF,79,1:2,Direct free kick,,2012,February
223,11/12,UEFA Champions League,Last 16,3/7/12,H,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,25,1:0,Left-footed shot,Xavi,2012,March
224,11/12,UEFA Champions League,Last 16,3/7/12,H,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,42,2:0,Left-footed shot,Andres Iniesta,2012,March
225,11/12,UEFA Champions League,Last 16,3/7/12,H,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,50,3:0,Right-footed shot,Cesc Fabregas,2012,March
226,11/12,UEFA Champions League,Last 16,3/7/12,H,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,58,5:0,Left-footed shot,,2012,March
227,11/12,UEFA Champions League,Last 16,3/7/12,H,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,85,7:0,Left-footed shot,Seydou Keita,2012,March
228,11/12,LaLiga,27,3/11/12,A,FC Barcelona,Racing Santander,0:2,CF,28,0:1,Left-footed shot,Cesc Fabregas,2012,March
229,11/12,LaLiga,27,3/11/12,A,FC Barcelona,Racing Santander,0:2,CF,55,0:2,Penalty,,2012,March
230,11/12,LaLiga,28,3/17/12,A,FC Barcelona,Sevilla FC,0:2,CF,25,0:2,Left-footed shot,Andres Iniesta,2012,March
231,11/12,LaLiga,29,3/20/12,H,FC Barcelona,Granada CF,5:3,CF,16,2:0,Left-footed shot,Isaac Cuenca,2012,March
232,11/12,LaLiga,29,3/20/12,H,FC Barcelona,Granada CF,5:3,CF,66,3:2,Left-footed shot,Dani Alves,2012,March
233,11/12,LaLiga,29,3/20/12,H,FC Barcelona,Granada CF,5:3,CF,85,5:2,Left-footed shot,Dani Alves,2012,March
234,11/12,LaLiga,30,3/24/12,A,FC Barcelona,RCD Mallorca,0:2,CF,25,0:1,Direct free kick,,2012,March
235,11/12,LaLiga,31,3/31/12,H,FC Barcelona,Athletic Bilbao,2:0,CF,57,2:0,Penalty,,2012,March
236,11/12,UEFA Champions League,Quarter-Finals,4/3/12,H,FC Barcelona,AC Milan,3:1,RW,11,1:0,Penalty,,2012,April
237,11/12,UEFA Champions League,Quarter-Finals,4/3/12,H,FC Barcelona,AC Milan,3:1,RW,42,2:1,Penalty,,2012,April
238,11/12,LaLiga,32,4/7/12,A,FC Barcelona,Real Zaragoza,1:4,CF,39,1:2,Left-footed shot,Alexis Sanchez,2012,April
239,11/12,LaLiga,32,4/7/12,A,FC Barcelona,Real Zaragoza,1:4,CF,86,1:3,Penalty,,2012,April
240,11/12,LaLiga,33,4/10/12,H,FC Barcelona,Getafe CF,4:0,CF,44,2:0,Left-footed shot,Andres Iniesta,2012,April
241,11/12,LaLiga,34,4/14/12,A,FC Barcelona,Levante UD,1:2,CF,64,1:1,Left-footed shot,Alexis Sanchez,2012,April
242,11/12,LaLiga,34,4/14/12,A,FC Barcelona,Levante UD,1:2,CF,73,1:2,Penalty,,2012,April
243,11/12,LaLiga,36,4/29/12,A,FC Barcelona,Rayo Vallecano,0:7,CF,16,0:1,Left-footed shot,Pedro,2012,April
244,11/12,LaLiga,36,4/29/12,A,FC Barcelona,Rayo Vallecano,0:7,CF,88,0:7,Left-footed shot,Pedro,2012,April
245,11/12,LaLiga,20,5/2/12,H,FC Barcelona,Malaga CF,4:1,CF,34,2:1,Penalty,,2012,May
246,11/12,LaLiga,20,5/2/12,H,FC Barcelona,Malaga CF,4:1,CF,60,3:1,Penalty,,2012,May
247,11/12,LaLiga,20,5/2/12,H,FC Barcelona,Malaga CF,4:1,CF,63,4:1,Left-footed shot,Andres Iniesta,2012,May
248,11/12,LaLiga,37,5/5/12,H,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,11,1:0,Direct free kick,,2012,May
249,11/12,LaLiga,37,5/5/12,H,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,63,2:0,Penalty,,2012,May
250,11/12,LaLiga,37,5/5/12,H,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,73,3:0,Left-footed shot,Adriano,2012,May
251,11/12,LaLiga,37,5/5/12,H,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,78,4:0,Penalty,,2012,May
252,11/12,Copa del Rey,Final,5/25/12,H,FC Barcelona,Athletic Bilbao,3:0,CF,20,2:0,Right-footed shot,Andres Iniesta,2012,May
253,12/13,LaLiga,1,8/19/12,H,FC Barcelona,Real Sociedad,5:1,CF,10,2:1,Left-footed shot,Pedro,2012,August
254,12/13,LaLiga,1,8/19/12,H,FC Barcelona,Real Sociedad,5:1,CF,15,3:1,Left-footed shot,Cristian Tello,2012,August
255,12/13,Supercopa,Final,8/23/12,H,FC Barcelona,Real Madrid,3:2,CF,60,2:1,Penalty,,2012,August
256,12/13,LaLiga,2,8/26/12,A,FC Barcelona,CA Osasuna,1:2,CF,74,1:1,Left-footed shot,Alexis Sanchez,2012,August
257,12/13,LaLiga,2,8/26/12,A,FC Barcelona,CA Osasuna,1:2,CF,79,1:2,Left-footed shot,Jordi Alba,2012,August
258,12/13,Supercopa,Final,8/29/12,A,FC Barcelona,Real Madrid,2:1,CF,45,2:1,Direct free kick,,2012,August
259,12/13,LaLiga,4,9/15/12,A,FC Barcelona,Getafe CF,1:4,CF,74,0:2,Penalty,,2012,September
260,12/13,LaLiga,4,9/15/12,A,FC Barcelona,Getafe CF,1:4,CF,78,0:3,Left-footed shot,Pedro,2012,September
261,12/13,UEFA Champions League,Group Stage,9/19/12,H,FC Barcelona,Spartak Moscow,3:2,CF,71,2:2,Left-footed shot,Cristian Tello,2012,September
262,12/13,UEFA Champions League,Group Stage,9/19/12,H,FC Barcelona,Spartak Moscow,3:2,CF,80,3:2,Header,Alexis Sanchez,2012,September
263,12/13,LaLiga,7,10/7/12,H,FC Barcelona,Real Madrid,2:2,CF,31,1:1,Left-footed shot,,2012,October
264,12/13,LaLiga,7,10/7/12,H,FC Barcelona,Real Madrid,2:2,CF,60,2:1,Direct free kick,,2012,October
265,12/13,LaLiga,8,10/20/12,A,FC Barcelona,Deportivo de La Coruaa,4:5,CF,17,0:3,Left-footed shot,Cesc Fabregas,2012,October
266,12/13,LaLiga,8,10/20/12,A,FC Barcelona,Deportivo de La Coruaa,4:5,CF,43,2:4,Left-footed shot,Cesc Fabregas,2012,October
267,12/13,LaLiga,8,10/20/12,A,FC Barcelona,Deportivo de La Coruaa,4:5,CF,76,3:5,Left-footed shot,Xavi,2012,October
268,12/13,LaLiga,9,10/27/12,A,FC Barcelona,Rayo Vallecano,0:5,CF,48,0:2,Left-footed shot,Marta Montoya,2012,October
269,12/13,LaLiga,9,10/27/12,A,FC Barcelona,Rayo Vallecano,0:5,CF,89,0:5,Right-footed shot,Cesc Fabregas,2012,October
270,12/13,UEFA Champions League,Group Stage,11/7/12,A,FC Barcelona,Celtic FC,2:1,CF,90+1,2:1,Tap-in,,2012,November
271,12/13,LaLiga,11,11/11/12,A,FC Barcelona,RCD Mallorca,2:4,CF,43,0:2,Left-footed shot,Sergio Busquets,2012,November
272,12/13,LaLiga,11,11/11/12,A,FC Barcelona,RCD Mallorca,2:4,CF,70,2:4,Left-footed shot,Alexis Sanchez,2012,November
273,12/13,LaLiga,12,11/17/12,H,FC Barcelona,Real Zaragoza,3:1,CF,15,1:0,Left-footed shot,Jordi Alba,2012,November
274,12/13,LaLiga,12,11/17/12,H,FC Barcelona,Real Zaragoza,3:1,CF,60,3:1,Left-footed shot,Marta Montoya,2012,November
275,12/13,UEFA Champions League,Group Stage,11/20/12,A,FC Barcelona,Spartak Moscow,0:3,CF,27,0:2,Right-footed shot,,2012,November
276,12/13,UEFA Champions League,Group Stage,11/20/12,A,FC Barcelona,Spartak Moscow,0:3,CF,39,0:3,Left-footed shot,Pedro,2012,November
277,12/13,LaLiga,13,11/25/12,A,FC Barcelona,Levante UD,0:4,CF,46,0:1,Left-footed shot,Andres Iniesta,2012,November
278,12/13,LaLiga,13,11/25/12,A,FC Barcelona,Levante UD,0:4,CF,51,0:2,Left-footed shot,Andres Iniesta,2012,November
279,12/13,LaLiga,14,12/1/12,H,FC Barcelona,Athletic Bilbao,5:1,CF,24,2:0,Left-footed shot,Xavi,2012,December
280,12/13,LaLiga,14,12/1/12,H,FC Barcelona,Athletic Bilbao,5:1,CF,69,5:1,Right-footed shot,Pedro,2012,December
281,12/13,LaLiga,15,12/9/12,A,FC Barcelona,Real Betis Balompie,1:2,CF,16,0:1,Left-footed shot,Andres Iniesta,2012,December
282,12/13,LaLiga,15,12/9/12,A,FC Barcelona,Real Betis Balompie,1:2,CF,25,0:2,Left-footed shot,Andres Iniesta,2012,December
283,12/13,Copa del Rey,Last 16,12/12/12,A,FC Barcelona,CÃ³rdoba CF,0:2,CF,10,0:1,Left-footed shot,David Villa,2012,December
284,12/13,Copa del Rey,Last 16,12/12/12,A,FC Barcelona,CÃ³rdoba CF,0:2,CF,73,0:2,Left-footed shot,Alexis Sanchez,2012,December
285,12/13,LaLiga,16,12/16/12,H,FC Barcelona,Atletico de Madrid,4:1,CF,58,3:1,Left-footed shot,Alexis Sanchez,2012,December
286,12/13,LaLiga,16,12/16/12,H,FC Barcelona,Atletico de Madrid,4:1,CF,88,4:1,Left-footed shot,,2012,December
287,12/13,LaLiga,17,12/22/12,A,FC Barcelona,Real Valladolid CF,1:3,CF,59,0:2,Left-footed shot,Xavi,2012,December
288,12/13,LaLiga,18,1/6/13,H,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,28,4:0,Penalty,,2013,January
289,12/13,LaLiga,19,1/13/13,A,FC Barcelona,Malaga CF,1:3,CF,26,0:1,Right-footed shot,,2013,January
290,12/13,Copa del Rey,Quarter-Finals,1/16/13,H,FC Barcelona,Malaga CF,2:2,CF,29,1:1,Left-footed shot,,2013,January
291,12/13,LaLiga,20,1/19/13,A,FC Barcelona,Real Sociedad,3:2,CF,6,0:1,Left-footed shot,Andres Iniesta,2013,January
292,12/13,Copa del Rey,Quarter-Finals,1/24/13,A,FC Barcelona,Malaga CF,2:4,CF,79,2:4,Header,Dani Alves,2013,January
293,12/13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,5:1,CF,11,1:0,Right-footed shot,Xavi,2013,January
294,12/13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,5:1,CF,28,2:1,Penalty,,2013,January
295,12/13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,5:1,CF,56,4:1,Left-footed shot,David Villa,2013,January
296,12/13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,5:1,CF,58,5:1,Left-footed shot,Adriano,2013,January
297,12/13,LaLiga,22,2/3/13,A,FC Barcelona,Valencia CF,1:1,CF,39,1:1,Penalty,,2013,February
298,12/13,LaLiga,23,2/10/13,H,FC Barcelona,Getafe CF,6:1,CF,13,2:0,Left-footed shot,Thiago,2013,February
299,12/13,LaLiga,24,2/16/13,A,FC Barcelona,Granada CF,1:2,CF,49,1:1,Left-footed shot,,2013,February
300,12/13,LaLiga,24,2/16/13,A,FC Barcelona,Granada CF,1:2,CF,72,1:2,Direct free kick,,2013,February
301,12/13,LaLiga,25,2/23/13,H,FC Barcelona,Sevilla FC,2:1,CF,60,2:1,Left-footed shot,Cristian Tello,2013,February
302,12/13,LaLiga,26,3/2/13,A,FC Barcelona,Real Madrid,2:1,CF,18,1:1,Left-footed shot,Dani Alves,2013,March
303,12/13,LaLiga,27,3/9/13,H,FC Barcelona,Deportivo de La Coruaa,2:0,CF,88,2:0,Left-footed shot,Alexis Sanchez,2013,March
304,12/13,UEFA Champions League,Last 16,3/12/13,H,FC Barcelona,AC Milan,4:0,CF,5,1:0,Left-footed shot,Xavi,2013,March
305,12/13,UEFA Champions League,Last 16,3/12/13,H,FC Barcelona,AC Milan,4:0,CF,40,2:0,Left-footed shot,Andres Iniesta,2013,March
306,12/13,LaLiga,28,3/17/13,H,FC Barcelona,Rayo Vallecano,3:1,CF,40,2:0,Left-footed shot,David Villa,2013,March
